indicator,sex,la_name,la_code,area_type,year,period,numerator,measure,lower_confidence_interval,upper_confidence_interval,definition,data_source
Mental wellbeing score,males,Aberdeenshire,S12000034,Council area,2014,4-year aggregate (2012 - 2015),NA,51.03,50.21,51.85,Mean,Scottish Health Survey
Mental wellbeing score,males,City of Edinburgh,S12000036,Council area,2014,4-year aggregate (2012 - 2015),NA,50.06,49.12,51.01,Mean,Scottish Health Survey
Mental wellbeing score,males,Dumfries and Galloway,S12000006,Council area,2014,4-year aggregate (2012 - 2015),NA,49.48,48.06,50.9,Mean,Scottish Health Survey
Mental wellbeing score,males,East Ayrshire,S12000008,Council area,2014,4-year aggregate (2012 - 2015),NA,49.86,48.7,51.02,Mean,Scottish Health Survey
Mental wellbeing score,males,Fife,S12000047,Council area,2014,4-year aggregate (2012 - 2015),NA,49.98,49.26,50.71,Mean,Scottish Health Survey
Mental wellbeing score,males,Glasgow City,S12000049,Council area,2014,4-year aggregate (2012 - 2015),NA,49.2,48.41,49.98,Mean,Scottish Health Survey
Mental wellbeing score,males,Highland,S12000017,Council area,2014,4-year aggregate (2012 - 2015),NA,50.85,49.69,52,Mean,Scottish Health Survey
Mental wellbeing score,males,Na h-Eileanan Siar,S12000013,Council area,2014,4-year aggregate (2012 - 2015),NA,51.29,50.28,52.3,Mean,Scottish Health Survey
Mental wellbeing score,males,North Ayrshire,S12000021,Council area,2014,4-year aggregate (2012 - 2015),NA,49.33,48,50.66,Mean,Scottish Health Survey
Mental wellbeing score,males,North Lanarkshire,S12000050,Council area,2014,4-year aggregate (2012 - 2015),NA,50.61,49.42,51.8,Mean,Scottish Health Survey
Mental wellbeing score,males,Orkney Islands,S12000023,Council area,2014,4-year aggregate (2012 - 2015),NA,50.56,49.32,51.8,Mean,Scottish Health Survey
Mental wellbeing score,males,Scottish Borders,S12000026,Council area,2014,4-year aggregate (2012 - 2015),NA,49.77,48.51,51.03,Mean,Scottish Health Survey
Mental wellbeing score,males,South Lanarkshire,S12000029,Council area,2014,4-year aggregate (2012 - 2015),NA,50.51,49.61,51.4,Mean,Scottish Health Survey
Mental wellbeing score,males,South Ayrshire,S12000028,Council area,2016,4-year aggregate (2014 - 2017),NA,50.08,48.58,51.57,Mean,Scottish Health Survey
Mental wellbeing score,males,South Lanarkshire,S12000029,Council area,2016,4-year aggregate (2014 - 2017),NA,49.5,48.57,50.43,Mean,Scottish Health Survey
Mental wellbeing score,males,Scottish Borders,S12000026,Council area,2016,4-year aggregate (2014 - 2017),NA,49.55,48.14,50.95,Mean,Scottish Health Survey
Mental wellbeing score,males,Orkney Islands,S12000023,Council area,2016,4-year aggregate (2014 - 2017),NA,50.07,48.91,51.24,Mean,Scottish Health Survey
Mental wellbeing score,males,North Lanarkshire,S12000050,Council area,2016,4-year aggregate (2014 - 2017),NA,49.86,48.77,50.96,Mean,Scottish Health Survey
Mental wellbeing score,males,North Ayrshire,S12000021,Council area,2016,4-year aggregate (2014 - 2017),NA,48.81,47.6,50.01,Mean,Scottish Health Survey
Mental wellbeing score,males,Highland,S12000017,Council area,2016,4-year aggregate (2014 - 2017),NA,50.84,49.69,51.99,Mean,Scottish Health Survey
Mental wellbeing score,males,Glasgow City,S12000049,Council area,2016,4-year aggregate (2014 - 2017),NA,48.74,47.93,49.55,Mean,Scottish Health Survey
Mental wellbeing score,males,Fife,S12000047,Council area,2016,4-year aggregate (2014 - 2017),NA,50.23,49.54,50.92,Mean,Scottish Health Survey
Mental wellbeing score,males,Na h-Eileanan Siar,S12000013,Council area,2016,4-year aggregate (2014 - 2017),NA,51.06,49.95,52.16,Mean,Scottish Health Survey
Mental wellbeing score,males,City of Edinburgh,S12000036,Council area,2016,4-year aggregate (2014 - 2017),NA,49.53,48.4,50.67,Mean,Scottish Health Survey
Mental wellbeing score,males,East Ayrshire,S12000008,Council area,2016,4-year aggregate (2014 - 2017),NA,49.69,48.57,50.81,Mean,Scottish Health Survey
Mental wellbeing score,males,Dumfries and Galloway,S12000006,Council area,2016,4-year aggregate (2014 - 2017),NA,50.1,48.64,51.57,Mean,Scottish Health Survey
Mental wellbeing score,males,Aberdeenshire,S12000034,Council area,2016,4-year aggregate (2014 - 2017),NA,51.39,50.45,52.33,Mean,Scottish Health Survey
Mental wellbeing score,males,Aberdeen City,S12000033,Council area,2016,4-year aggregate (2014 - 2017),NA,50.94,50.07,51.8,Mean,Scottish Health Survey
Mental wellbeing score,males,Shetland Islands,S12000027,Council area,2016,4-year aggregate (2014 - 2017),NA,50.55,49.46,51.64,Mean,Scottish Health Survey
