indicator,sex,la_name,la_code,area_type,year,period,numerator,measure,lower_confidence_interval,upper_confidence_interval,definition,data_source
Drug-related deaths,females,Aberdeen City,S12000033,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,14.8,13.54,7.46,22.51,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Aberdeenshire,S12000034,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,5.2,3.92,1.29,9.02,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Argyll and Bute,S12000035,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,2.6,6.04,0.88,19.31,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,City of Edinburgh,S12000036,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,23.2,9.23,5.81,13.9,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Renfrewshire,S12000038,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,9.4,10.94,5.06,20.55,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,West Dunbartonshire,S12000039,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,4.6,9.82,2.93,23.79,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,West Lothian,S12000040,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,6.8,7.46,2.93,15.54,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Angus,S12000041,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,4,7.42,1.95,19.12,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Dundee City,S12000042,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,13.4,19.39,10.28,33.11,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,East Dunbartonshire,S12000045,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,2,3.85,0.38,14.06,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Fife,S12000047,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,16.8,4.72,2.73,7.6,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Perth and Kinross,S12000048,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,3.8,2.53,0.62,6.69,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,Glasgow City,S12000049,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,54.6,18.06,13.55,23.58,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Drug-related deaths,females,North Lanarkshire,S12000050,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,14.2,8.09,4.43,13.53,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Clackmannanshire,S12000005,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,NA,13.34,3.19,35.94,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Dumfries and Galloway,S12000006,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,5.2,7.02,2.23,16.33,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,East Ayrshire,S12000008,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,NA,4.8,1.03,13.6,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,East Lothian,S12000010,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,NA,5.86,1.14,17.22,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,East Renfrewshire,S12000011,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,NA,5.74,0.8,18.95,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Na h-Eileanan Siar,S12000013,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,NA,10.25,0.33,46.35,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Falkirk,S12000014,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,5.8,7.19,2.56,15.86,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Highland,S12000017,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,11,9.16,4.51,16.46,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Inverclyde,S12000018,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,NA,7.74,1.61,22.08,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Midlothian,S12000019,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,NA,7.08,1.51,20.1,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Moray,S12000020,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,NA,8.66,2.38,21.82,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,North Ayrshire,S12000021,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,NA,5.58,1.38,14.73,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Orkney Islands,S12000023,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,NA,9.86,0.01,55.43,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Scottish Borders,S12000026,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,5.6,9.86,3.28,22.34,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Shetland Islands,S12000027,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,NA,3.31,0,36.99,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,South Ayrshire,S12000028,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,NA,4.02,0.48,13.9,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,South Lanarkshire,S12000029,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,10.2,6.23,2.99,11.41,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Stirling,S12000030,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,NA,7.58,1.88,20,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Aberdeen City,S12000033,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,8.6,8.11,3.57,15.69,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Aberdeenshire,S12000034,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,8.4,6.33,2.78,12.32,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Argyll and Bute,S12000035,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,NA,5.7,0.96,17.47,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,City of Edinburgh,S12000036,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,22,9.13,5.65,13.92,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Renfrewshire,S12000038,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,7.4,8.16,3.36,16.52,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,West Dunbartonshire,S12000039,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,NA,7.03,1.61,19.4,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,West Lothian,S12000040,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,5.8,6.2,2.2,13.69,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Angus,S12000041,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,NA,7.16,2.04,17.71,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Dundee City,S12000042,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,6.4,9.01,3.34,19.32,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,East Dunbartonshire,S12000045,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,NA,5.06,0.86,15.47,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Fife,S12000047,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,14.6,7.71,4.26,12.81,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Perth and Kinross,S12000048,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,5,6.93,2.14,16.37,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Glasgow City,S12000049,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,24.8,8,5.12,11.9,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,North Lanarkshire,S12000050,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,11,6.25,3.11,11.2,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Clackmannanshire,S12000005,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,NA,12.58,2.84,34.77,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Dumfries and Galloway,S12000006,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,5.4,7.31,2.36,16.81,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,East Ayrshire,S12000008,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,NA,3.74,0.55,12.26,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,East Lothian,S12000010,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,NA,4.99,0.81,15.75,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,East Renfrewshire,S12000011,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,NA,5.25,0.63,18.15,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Na h-Eileanan Siar,S12000013,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,NA,8.87,0.08,44.42,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Falkirk,S12000014,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,7,8.6,3.44,17.73,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Highland,S12000017,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,9.8,8.37,3.91,15.58,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Inverclyde,S12000018,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,NA,7.16,1.38,21.05,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Midlothian,S12000019,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,NA,6.06,1.11,18.33,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Moray,S12000020,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,NA,7.83,1.96,20.63,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,North Ayrshire,S12000021,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,NA,6.52,1.91,15.86,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Orkney Islands,S12000023,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,NA,12,0.24,59.57,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Scottish Borders,S12000026,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,5.2,9,2.82,21,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Shetland Islands,S12000027,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,NA,1.64,0,33.4,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,South Ayrshire,S12000028,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,NA,4.38,0.6,14.48,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,South Lanarkshire,S12000029,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,8.8,5.34,2.4,10.23,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Stirling,S12000030,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,NA,7.31,1.7,19.8,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Aberdeen City,S12000033,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,8.2,7.86,3.39,15.43,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Aberdeenshire,S12000034,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,9,6.81,3.09,12.95,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Argyll and Bute,S12000035,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,NA,6.88,1.28,19.98,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,City of Edinburgh,S12000036,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,20.2,8.44,5.11,13.08,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Renfrewshire,S12000038,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,6.8,7.63,2.99,15.91,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,West Dunbartonshire,S12000039,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,NA,7.08,1.61,19.54,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,West Lothian,S12000040,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,NA,5.18,1.6,12.32,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Angus,S12000041,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,NA,6.91,1.88,17.45,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Dundee City,S12000042,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,6.2,8.67,3.14,18.81,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,East Dunbartonshire,S12000045,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,NA,5.49,1.04,16.2,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Fife,S12000047,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,13.6,7.14,3.85,12.08,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Perth and Kinross,S12000048,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,NA,6.51,1.94,15.65,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Glasgow City,S12000049,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,21,6.78,4.15,10.42,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,North Lanarkshire,S12000050,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,10,5.65,2.7,10.41,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Clackmannanshire,S12000005,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,NA,11.16,2.18,32.76,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Dumfries and Galloway,S12000006,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,5.2,7.54,2.38,17.55,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,East Ayrshire,S12000008,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,NA,3.92,0.57,12.87,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,East Lothian,S12000010,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,NA,4.42,0.64,14.53,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,East Renfrewshire,S12000011,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,NA,5.96,0.93,18.89,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Na h-Eileanan Siar,S12000013,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,NA,9.9,0.15,49.32,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Falkirk,S12000014,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,8.4,10.26,4.52,19.92,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Highland,S12000017,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,12.4,10.68,5.52,18.6,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Inverclyde,S12000018,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,NA,8.03,1.78,22.26,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Midlothian,S12000019,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,NA,7.35,1.68,20.26,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Moray,S12000020,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,NA,7.86,1.96,20.7,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,North Ayrshire,S12000021,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,NA,6.8,2.06,16.25,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Orkney Islands,S12000023,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,NA,10.39,0.05,58.23,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Scottish Borders,S12000026,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,5.8,9.95,3.39,22.24,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Shetland Islands,S12000027,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,NA,3.51,0,39.36,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,South Ayrshire,S12000028,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,NA,5.01,0.84,15.33,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,South Lanarkshire,S12000029,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,8.8,5.3,2.38,10.16,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Stirling,S12000030,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,NA,6.01,1.11,17.79,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Aberdeen City,S12000033,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,7,6.52,2.55,13.53,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Aberdeenshire,S12000034,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,8.4,6.54,2.87,12.71,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Argyll and Bute,S12000035,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,NA,8.34,1.94,22.28,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,City of Edinburgh,S12000036,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,18.4,7.26,4.25,11.52,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Renfrewshire,S12000038,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,6,6.63,2.41,14.47,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,West Dunbartonshire,S12000039,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,NA,7.46,1.78,20.11,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,West Lothian,S12000040,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,5.8,6.32,2.24,13.97,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Angus,S12000041,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,NA,5.87,1.39,15.85,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Dundee City,S12000042,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,6.8,9.54,3.67,20,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,East Dunbartonshire,S12000045,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,NA,5.38,1.04,15.83,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Fife,S12000047,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,13,6.87,3.64,11.76,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Perth and Kinross,S12000048,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,NA,6.26,1.82,15.25,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,Glasgow City,S12000049,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,23,7.49,4.7,11.29,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,females,North Lanarkshire,S12000050,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,10.4,5.85,2.84,10.65,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Clackmannanshire,S12000005,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,8.4,35.11,14.76,69.36,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Dumfries and Galloway,S12000006,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,12.8,19.35,9.98,33.62,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,East Ayrshire,S12000008,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,11,18.33,9.09,32.86,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,East Lothian,S12000010,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,8.8,18.48,8.23,35.52,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,East Renfrewshire,S12000011,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,6.2,15.32,5.53,33.29,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Na h-Eileanan Siar,S12000013,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,NA,18.78,2.49,62.34,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Falkirk,S12000014,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,19,25.19,15.08,39.45,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Highland,S12000017,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,27.2,24.39,16.02,35.54,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Inverclyde,S12000018,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,9.2,23.62,10.77,44.74,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Midlothian,S12000019,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,9.8,23.91,11.28,44.33,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Moray,S12000020,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,12.2,26.1,13.49,45.5,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,North Ayrshire,S12000021,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,14.4,22.8,12.45,38.18,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Orkney Islands,S12000023,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,NA,21.75,2.6,75.27,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Scottish Borders,S12000026,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,10,18.97,8.81,35.34,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Shetland Islands,S12000027,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,NA,21.89,3.63,68.83,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,South Ayrshire,S12000028,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,9.2,17.45,7.89,33.16,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,South Lanarkshire,S12000029,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,29.2,18.93,12.65,27.22,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Stirling,S12000030,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,6.6,14.67,5.61,31,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Aberdeen City,S12000033,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,22,19.64,12.05,30.08,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Aberdeenshire,S12000034,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,20,16.02,9.69,24.88,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Argyll and Bute,S12000035,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,5.6,13.24,4.51,29.79,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,City of Edinburgh,S12000036,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,57.6,24.43,18.33,31.86,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Renfrewshire,S12000038,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,15.6,19.35,10.73,31.95,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,West Dunbartonshire,S12000039,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,8.8,20.72,9.22,39.83,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,West Lothian,S12000040,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,17.4,20.64,11.68,33.48,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Angus,S12000041,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,10.8,20.17,9.8,36.57,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Dundee City,S12000042,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,16.4,23.77,13.42,38.77,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,East Dunbartonshire,S12000045,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,8.4,16.93,7.33,33.09,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Fife,S12000047,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,38.6,22.7,16.01,31.21,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Perth and Kinross,S12000048,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,13.6,19.12,10.27,32.41,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Deaths from suicide,males,Glasgow City,S12000049,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,62,21.16,16.05,27.32,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
