FeatureCode,DateCode,Measurement,Units,Value,Scottish Health Survey Indicator,Sex
S08000022,2016-2019,95% Lower Confidence Limit,Percent Of Adults,63.8,Fruit & vegetable consumption: Less than 5 portions,Male
S08000019,2015-2018,Percent,Percent Of Adults,80,E-cigarette use: Never used,Male
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,10.2,E-cigarette use: Currently using,Male
S08000022,2015-2018,95% Lower Confidence Limit,Units of alcohol,11.6,Alcohol consumption (mean weekly units),Male
S08000020,2016-2019,95% Lower Confidence Limit,Units of alcohol,12.1,Alcohol consumption (mean weekly units),Male
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,55.8,Alcohol consumption: Moderate drinker,Male
S08000022,2015-2018,95% Lower Confidence Limit,Percent Of Adults,59.5,General health questionnaire (GHQ-12): Score 0,Male
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,45.3,Alcohol consumption: Moderate drinker,Male
S08000020,2016-2019,Percent,Percent Of Adults,24,Long-term illness: Limiting long-term illness,Male
S08000020,2016-2019,Percent,Percent Of Adults,63,Long-term illness: No long-term illness,Male
S08000020,2015-2018,95% Upper Confidence Limit,WEMWBS Score,51.3,Mental wellbeing,Male
S08000020,2015-2018,95% Upper Confidence Limit,Percent Of Adults,58.9,Alcohol consumption: Moderate drinker,Male
S08000020,2015-2018,95% Lower Confidence Limit,Percent Of Adults,52.1,Alcohol consumption: Moderate drinker,Male
S08000019,2015-2018,95% Upper Confidence Limit,Percent Of Adults,72.5,Overweight: Overweight (including obese),Male
S08000020,2016-2019,Mean,WEMWBS Score,50.6,Mental wellbeing,Male
S08000019,2015-2018,95% Upper Confidence Limit,Percent Of Adults,14,Summary activity levels: Some activity,Male
S08000022,2016-2019,Percent,Percent Of Adults,27,Smoking status: Used to smoke regularly,Male
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,13.4,Summary activity levels: Very low activity,Male
S08000022,2015-2018,95% Upper Confidence Limit,Percent Of Adults,81.7,Obesity: Not obese,Male
S08000022,2015-2018,95% Lower Confidence Limit,Percent Of Adults,71.4,Obesity: Not obese,Male
S08000020,2015-2018,95% Lower Confidence Limit,WEMWBS Score,50.1,Mental wellbeing,Male
S08000020,2015-2018,Mean,WEMWBS Score,50.7,Mental wellbeing,Male
S08000022,2015-2018,95% Upper Confidence Limit,Units of alcohol,14.9,Alcohol consumption (mean weekly units),Male
S08000022,2015-2018,Percent,Percent Of Adults,28,Smoking status: Used to smoke regularly,Male
S08000022,2015-2018,95% Upper Confidence Limit,Percent Of Adults,33.3,Smoking status: Used to smoke regularly,Male
S08000022,2015-2018,Mean,Units of alcohol,13.3,Alcohol consumption (mean weekly units),Male
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,59.7,Overweight: Overweight (including obese),Male
S08000020,2016-2019,Percent,Percent Of Adults,9,Summary activity levels: Some activity,Male
S08000020,2015-2018,95% Lower Confidence Limit,Percent Of Adults,2.4,Summary activity levels: Low activity,Male
S08000031,2016-2019,Percent,Percent Of Adults,38,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,27.1,Long-term illness: Limiting long-term illness,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,34.9,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,20.8,Smoking status: Used to smoke regularly,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,32.4,Long-term illness: Limiting long-term illness,Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,31.2,Overweight: Not overweight or obese,Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,15.7,Summary activity levels: Very low activity,Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,37.6,Overweight: Not overweight or obese,Male
S08000031,2016-2019,Percent,Percent Of Adults,30,Long-term illness: Limiting long-term illness,Male
S08000031,2015-2018,Percent,Percent Of Adults,18,Summary activity levels: Very low activity,Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,22.1,Fruit & vegetable consumption: 5 portions or more,Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,22.8,General health questionnaire (GHQ-12): Score 1-3,Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,28.4,General health questionnaire (GHQ-12): Score 1-3,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,24.6,Fruit & vegetable consumption: 5 portions or more,Male
S08000031,2015-2018,Percent,Percent Of Adults,20,Fruit & vegetable consumption: 5 portions or more,Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,17.4,Fruit & vegetable consumption: 5 portions or more,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,25.4,Smoking status: Used to smoke regularly,Male
S08000031,2015-2018,Percent,Percent Of Adults,26,General health questionnaire (GHQ-12): Score 1-3,Male
S08000031,2016-2019,Percent,Percent Of Adults,23,Smoking status: Used to smoke regularly,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,17,Any cardiovascular condition: Has a cardiovascular condition,Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,61,General health questionnaire (GHQ-12): Score 0,Male
S08000031,2016-2019,Percent,Percent Of Adults,31,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male
S08000031,2016-2019,Percent,Percent Of Adults,58,General health questionnaire (GHQ-12): Score 0,Male
S08000031,2015-2018,Percent,Percent Of Adults,58,General health questionnaire (GHQ-12): Score 0,Male
S08000031,2016-2019,Percent,Percent Of Adults,15,Any cardiovascular condition: Has a cardiovascular condition,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,13.2,Any cardiovascular condition: Has a cardiovascular condition,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,33.3,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,19.5,General health questionnaire (GHQ-12): Score 4+,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,27.9,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,34.9,Alcohol consumption: Hazardous/Harmful drinker,Male
S08000031,2016-2019,Percent,Percent Of Adults,36,Overweight: Not overweight or obese,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,40.8,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,39,Overweight: Not overweight or obese,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,32.5,Overweight: Not overweight or obese,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,55.3,General health questionnaire (GHQ-12): Score 0,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,61.6,General health questionnaire (GHQ-12): Score 0,Male
S08000031,2016-2019,Percent,Percent Of Adults,32,Alcohol consumption: Hazardous/Harmful drinker,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,29.4,Alcohol consumption: Hazardous/Harmful drinker,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,9.7,Self-assessed general health: Bad/Very bad,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,6.7,Self-assessed general health: Bad/Very bad,Male
S08000031,2016-2019,Percent,Percent Of Adults,8,Self-assessed general health: Bad/Very bad,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,48.2,Alcohol consumption: Moderate drinker,Male
S08000031,2016-2019,Percent,Percent Of Adults,51,Alcohol consumption: Moderate drinker,Male
S08000031,2015-2018,Percent,Percent Of Adults,24,Smoking status: Used to smoke regularly,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,16,E-cigarette use: Ever previously used,Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,50.1,Smoking status: Never smoked/Used to smoke occasionally,Male
S08000031,2016-2019,Percent,Percent Of Adults,14,E-cigarette use: Ever previously used,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,11.7,E-cigarette use: Ever previously used,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,81.7,E-cigarette use: Never used,Male
S08000031,2016-2019,Mean,Units of alcohol,15.8,Alcohol consumption (mean weekly units),Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,76.7,E-cigarette use: Never used,Male
S08000031,2015-2018,Percent,Percent Of Adults,52,Alcohol consumption: Moderate drinker,Male
S08000031,2016-2019,Percent,Percent Of Adults,79,E-cigarette use: Never used,Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,82.1,E-cigarette use: Never used,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,54.2,Alcohol consumption: Moderate drinker,Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,76.4,E-cigarette use: Never used,Male
S08000031,2015-2018,Percent,Percent Of Adults,79,E-cigarette use: Never used,Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,5,Summary activity levels: Low activity,Male
S08000031,2016-2019,Percent,Percent Of Adults,22,Smoking status: Current smoker,Male
S08000031,2016-2019,Percent,Percent Of Adults,22,Fruit & vegetable consumption: 5 portions or more,Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,2.8,Summary activity levels: Low activity,Male
S08000031,2016-2019,Percent,Percent Of Adults,55,Smoking status: Never smoked/Used to smoke occasionally,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,21.8,General health questionnaire (GHQ-12): Score 1-3,Male
S08000031,2016-2019,95% Lower Confidence Limit,Units of alcohol,14.4,Alcohol consumption (mean weekly units),Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,19.5,Fruit & vegetable consumption: 5 portions or more,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,27.2,General health questionnaire (GHQ-12): Score 1-3,Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,21.4,Smoking status: Used to smoke regularly,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,58,Smoking status: Never smoked/Used to smoke occasionally,Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,26.1,Smoking status: Used to smoke regularly,Male
S08000031,2015-2018,Percent,Percent Of Adults,53,Smoking status: Never smoked/Used to smoke occasionally,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,52.1,Smoking status: Never smoked/Used to smoke occasionally,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,24.4,Smoking status: Current smoker,Male
S08000031,2015-2018,Percent,Percent Of Adults,4,Summary activity levels: Low activity,Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,56.1,Smoking status: Never smoked/Used to smoke occasionally,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,19.3,Smoking status: Current smoker,Male
S08000031,2016-2019,Percent,Percent Of Adults,84,Doctor-diagnosed asthma: No,Male
S08000031,2016-2019,Mean,Portions of fruit & vegetables,3.1,Fruit & vegetable consumption (mean daily portions),Male
S08000031,2016-2019,95% Lower Confidence Limit,Portions of fruit & vegetables,3,Fruit & vegetable consumption (mean daily portions),Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,13.5,Alcohol consumption: Non-drinker,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,18.9,Doctor-diagnosed asthma: Yes,Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,62.4,Overweight: Overweight (including obese),Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,19,General health questionnaire (GHQ-12): Score 4+,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,10.9,Summary activity levels: Some activity,Male
S08000031,2015-2018,Percent,Percent Of Adults,66,Overweight: Overweight (including obese),Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,68.8,Overweight: Overweight (including obese),Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,67.5,Overweight: Overweight (including obese),Male
S08000031,2015-2018,Percent,Percent Of Adults,70,Summary activity levels: Meets recommendations,Male
S08000031,2016-2019,Percent,Percent Of Adults,64,Overweight: Overweight (including obese),Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,66.3,Summary activity levels: Meets recommendations,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,71.7,Summary activity levels: Meets recommendations,Male
S08000031,2016-2019,Percent,Percent Of Adults,16,Doctor-diagnosed asthma: Yes,Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,17.7,Alcohol consumption: Non-drinker,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,61,Overweight: Overweight (including obese),Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,14.1,Doctor-diagnosed asthma: Yes,Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,76.2,Obesity: Not obese,Male
S08000031,2015-2018,Percent,Percent Of Adults,73,Obesity: Not obese,Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,70.5,Obesity: Not obese,Male
S08000031,2016-2019,Percent,Percent Of Adults,9,Summary activity levels: Some activity,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,14.5,General health questionnaire (GHQ-12): Score 4+,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,14.4,Alcohol consumption: Non-drinker,Male
S08000031,2015-2018,95% Upper Confidence Limit,Portions of fruit & vegetables,3.1,Fruit & vegetable consumption (mean daily portions),Male
S08000031,2016-2019,Percent,Percent Of Adults,17,Alcohol consumption: Non-drinker,Male
S08000031,2016-2019,Percent,Percent Of Adults,17,General health questionnaire (GHQ-12): Score 4+,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,18.9,Alcohol consumption: Non-drinker,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,85.9,Doctor-diagnosed asthma: No,Male
S08000031,2016-2019,Percent,Percent Of Adults,73,Obesity: Not obese,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,81.1,Doctor-diagnosed asthma: No,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,75.8,Obesity: Not obese,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,70,Obesity: Not obese,Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,72.3,Summary activity levels: Meets recommendations,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,7.5,Summary activity levels: Some activity,Male
S08000031,2016-2019,95% Upper Confidence Limit,Portions of fruit & vegetables,3.3,Fruit & vegetable consumption (mean daily portions),Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,67,Summary activity levels: Meets recommendations,Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,68.6,Self-assessed general health: Very good/Good,Male
S08000031,2015-2018,Percent,Percent Of Adults,57,Long-term illness: No long-term illness,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,12.7,"Provide any regular help or care for any sick, disabled or frail person: Yes",Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,59.7,Long-term illness: No long-term illness,Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,53.8,Long-term illness: No long-term illness,Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,23.8,Obesity: Obese,Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,73.8,Self-assessed general health: Very good/Good,Male
S08000031,2015-2018,Percent,Percent Of Adults,27,Obesity: Obese,Male
S08000031,2016-2019,Percent,Percent Of Adults,15,"Provide any regular help or care for any sick, disabled or frail person: Yes",Male
S08000031,2015-2018,Percent,Percent Of Adults,71,Self-assessed general health: Very good/Good,Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,15,Long-term illness: Non-limiting long-term illness,Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,54.7,General health questionnaire (GHQ-12): Score 0,Male
S08000031,2015-2018,Percent,Percent Of Adults,13,Long-term illness: Non-limiting long-term illness,Male
S08000031,2015-2018,Percent,Percent Of Adults,34,Overweight: Not overweight or obese,Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,20,Summary activity levels: Very low activity,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,87.3,"Provide any regular help or care for any sick, disabled or frail person: No",Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,83,"Provide any regular help or care for any sick, disabled or frail person: No",Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,11.2,Long-term illness: Non-limiting long-term illness,Male
S08000031,2016-2019,Percent,Percent Of Adults,85,"Provide any regular help or care for any sick, disabled or frail person: No",Male
S08000031,2016-2019,Percent,Percent Of Adults,13,Long-term illness: Non-limiting long-term illness,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,74.9,Self-assessed general health: Very good/Good,Male
S08000031,2016-2019,Percent,Percent Of Adults,57,Long-term illness: No long-term illness,Male
S08000031,2016-2019,Percent,Percent Of Adults,72,Self-assessed general health: Very good/Good,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,69.8,Self-assessed general health: Very good/Good,Male
S08000031,2015-2018,Percent,Percent Of Adults,16,Alcohol consumption: Non-drinker,Male
S08000031,2016-2019,Percent,Percent Of Adults,69,Summary activity levels: Meets recommendations,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,15,Long-term illness: Non-limiting long-term illness,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,11.3,Long-term illness: Non-limiting long-term illness,Male
S08000031,2016-2019,95% Lower Confidence Limit,Percent Of Adults,54.2,Long-term illness: No long-term illness,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,60,Long-term illness: No long-term illness,Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,29.6,Alcohol consumption: Hazardous/Harmful drinker,Male
S08000031,2016-2019,95% Upper Confidence Limit,Percent Of Adults,17,"Provide any regular help or care for any sick, disabled or frail person: Yes",Male
S08000031,2015-2018,Percent,Percent Of Adults,15,Any cardiovascular condition: Has a cardiovascular condition,Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,17,Any cardiovascular condition: Has a cardiovascular condition,Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,13.1,Any cardiovascular condition: Has a cardiovascular condition,Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,35.1,Alcohol consumption: Hazardous/Harmful drinker,Male
S08000031,2015-2018,Percent,Percent Of Adults,32,Alcohol consumption: Hazardous/Harmful drinker,Male
S08000032,2016-2019,Percent,Percent Of Adults,22,Self-assessed general health: Fair,Male
S08000032,2016-2019,95% Lower Confidence Limit,Percent Of Adults,18,Self-assessed general health: Fair,Male
S08000032,2016-2019,Mean,Units of alcohol,18.2,Alcohol consumption (mean weekly units),Male
S08000032,2015-2018,95% Lower Confidence Limit,Percent Of Adults,22.4,Smoking status: Used to smoke regularly,Male
S08000032,2016-2019,95% Upper Confidence Limit,Percent Of Adults,35.6,Life satisfaction: Mode (8),Male
S08000032,2015-2018,Mean,Units of alcohol,18.9,Alcohol consumption (mean weekly units),Male
S08000032,2015-2018,95% Lower Confidence Limit,Units of alcohol,16.4,Alcohol consumption (mean weekly units),Male
S08000032,2015-2018,95% Lower Confidence Limit,Percent Of Adults,29.2,Obesity: Obese,Male
S08000032,2016-2019,95% Upper Confidence Limit,Percent Of Adults,86.4,Doctor-diagnosed asthma: No,Male
S08000032,2015-2018,95% Upper Confidence Limit,Units of alcohol,21.5,Alcohol consumption (mean weekly units),Male
S08000032,2016-2019,Percent,Percent Of Adults,31,Life satisfaction: Mode (8),Male
S08000032,2016-2019,95% Lower Confidence Limit,Percent Of Adults,27.1,Life satisfaction: Mode (8),Male
S08000032,2016-2019,Percent,Percent Of Adults,66,Obesity: Not obese,Male
S08000032,2016-2019,Percent,Percent Of Adults,26,Smoking status: Used to smoke regularly,Male
S08000032,2016-2019,95% Lower Confidence Limit,Percent Of Adults,22,Smoking status: Used to smoke regularly,Male
S08000032,2015-2018,Percent,Percent Of Adults,26,Smoking status: Used to smoke regularly,Male
S08000032,2015-2018,95% Upper Confidence Limit,Percent Of Adults,29.6,Smoking status: Used to smoke regularly,Male
S08000032,2016-2019,95% Upper Confidence Limit,Percent Of Adults,71.1,Obesity: Not obese,Male
S08000032,2015-2018,95% Lower Confidence Limit,Percent Of Adults,16.8,Self-assessed general health: Fair,Male
S08000032,2016-2019,Percent,Percent Of Adults,26,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male
S08000032,2016-2019,95% Lower Confidence Limit,Percent Of Adults,80.7,Any cardiovascular condition: No cardiovascular condition,Male
S08000032,2016-2019,95% Lower Confidence Limit,Percent Of Adults,28.9,Obesity: Obese,Male
S08000032,2016-2019,Percent,Percent Of Adults,17,Doctor-diagnosed asthma: Yes,Male
S08000032,2016-2019,Percent,Percent Of Adults,84,Any cardiovascular condition: No cardiovascular condition,Male
S08000032,2016-2019,95% Lower Confidence Limit,Percent Of Adults,22.2,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male
S08000032,2015-2018,Percent,Percent Of Adults,85,Any cardiovascular condition: No cardiovascular condition,Male
S08000032,2016-2019,95% Upper Confidence Limit,Percent Of Adults,86.7,Any cardiovascular condition: No cardiovascular condition,Male
S08000032,2016-2019,Percent,Percent Of Adults,34,Obesity: Obese,Male
S08000032,2016-2019,95% Upper Confidence Limit,Percent Of Adults,29.6,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male
S08000032,2016-2019,95% Upper Confidence Limit,Units of alcohol,20.8,Alcohol consumption (mean weekly units),Male
S08000032,2016-2019,Percent,Percent Of Adults,83,Doctor-diagnosed asthma: No,Male
S08000032,2016-2019,95% Lower Confidence Limit,Units of alcohol,15.6,Alcohol consumption (mean weekly units),Male
S08000032,2015-2018,Percent,Percent Of Adults,34,Obesity: Obese,Male
S08000032,2015-2018,95% Upper Confidence Limit,Percent Of Adults,38.6,Obesity: Obese,Male
S08000032,2016-2019,95% Lower Confidence Limit,Percent Of Adults,13.6,Doctor-diagnosed asthma: Yes,Male
S08000032,2016-2019,95% Upper Confidence Limit,Percent Of Adults,20.5,Doctor-diagnosed asthma: Yes,Male
S08000032,2015-2018,95% Lower Confidence Limit,Percent Of Adults,81.9,Any cardiovascular condition: No cardiovascular condition,Male
S08000032,2015-2018,95% Upper Confidence Limit,Percent Of Adults,87.2,Any cardiovascular condition: No cardiovascular condition,Male
S08000032,2015-2018,95% Upper Confidence Limit,Percent Of Adults,70.8,Obesity: Not obese,Male
S08000032,2016-2019,95% Upper Confidence Limit,WEMWBS Score,49.2,Mental wellbeing,Male
S08000032,2016-2019,95% Upper Confidence Limit,Percent Of Adults,64.5,General health questionnaire (GHQ-12): Score 0,Male
S08000032,2015-2018,95% Upper Confidence Limit,Percent Of Adults,17.5,Fruit & vegetable consumption: None,Male
S08000032,2015-2018,Percent,Percent Of Adults,64,Summary activity levels: Meets recommendations,Male
S08000032,2015-2018,95% Upper Confidence Limit,Percent Of Adults,12.4,Summary activity levels: Some activity,Male
S08000032,2016-2019,95% Lower Confidence Limit,Percent Of Adults,54.3,General health questionnaire (GHQ-12): Score 0,Male
S08000032,2015-2018,95% Lower Confidence Limit,Percent Of Adults,57.8,General health questionnaire (GHQ-12): Score 0,Male
S08000032,2015-2018,95% Lower Confidence Limit,Percent Of Adults,61.4,Obesity: Not obese,Male
S08000032,2015-2018,Percent,Percent Of Adults,66,Obesity: Not obese,Male
S08000032,2016-2019,95% Lower Confidence Limit,WEMWBS Score,47.2,Mental wellbeing,Male
S08000032,2016-2019,Mean,WEMWBS Score,48.2,Mental wellbeing,Male
S08000032,2015-2018,95% Upper Confidence Limit,Percent Of Adults,24.1,Self-assessed general health: Fair,Male
S08000032,2015-2018,Percent,Percent Of Adults,18,General health questionnaire (GHQ-12): Score 4+,Male
S08000032,2015-2018,95% Lower Confidence Limit,Percent Of Adults,13.9,General health questionnaire (GHQ-12): Score 4+,Male
S08000032,2015-2018,95% Upper Confidence Limit,Percent Of Adults,68.3,Summary activity levels: Meets recommendations,Male
S08000032,2015-2018,95% Lower Confidence Limit,Percent Of Adults,60.1,Summary activity levels: Meets recommendations,Male
S08000032,2016-2019,95% Lower Confidence Limit,Percent Of Adults,61.2,Obesity: Not obese,Male
S08000032,2015-2018,Percent,Percent Of Adults,20,Self-assessed general health: Fair,Male
S08000032,2015-2018,95% Lower Confidence Limit,Percent Of Adults,66.6,Fruit & vegetable consumption: Less than 5 portions,Male
S08000032,2015-2018,95% Upper Confidence Limit,Portions of fruit & vegetables,2.9,Fruit & vegetable consumption (mean daily portions),Male
S08000032,2015-2018,95% Upper Confidence Limit,Percent Of Adults,74.5,Fruit & vegetable consumption: Less than 5 portions,Male
S08000032,2015-2018,Mean,Portions of fruit & vegetables,2.7,Fruit & vegetable consumption (mean daily portions),Male
S08000032,2016-2019,95% Upper Confidence Limit,Percent Of Adults,29.4,Smoking status: Used to smoke regularly,Male
S08000032,2015-2018,95% Upper Confidence Limit,Percent Of Adults,15.4,Alcohol consumption: Non-drinker,Male
S08000032,2015-2018,Percent,Percent Of Adults,13,Alcohol consumption: Non-drinker,Male
S08000032,2015-2018,Percent,Percent Of Adults,71,Fruit & vegetable consumption: Less than 5 portions,Male
S08000032,2015-2018,95% Lower Confidence Limit,Percent Of Adults,9.9,Alcohol consumption: Non-drinker,Male
S08000032,2016-2019,95% Lower Confidence Limit,Percent Of Adults,62.7,Summary activity levels: Meets recommendations,Male
S08000032,2015-2018,Percent,Percent Of Adults,10,Summary activity levels: Some activity,Male
S08000032,2016-2019,Percent,Percent Of Adults,67,Summary activity levels: Meets recommendations,Male
S08000032,2016-2019,95% Upper Confidence Limit,Percent Of Adults,17.3,Fruit & vegetable consumption: None,Male
S08000032,2015-2018,95% Lower Confidence Limit,Percent Of Adults,7.4,Summary activity levels: Some activity,Male
S08000032,2015-2018,95% Lower Confidence Limit,Portions of fruit & vegetables,2.5,Fruit & vegetable consumption (mean daily portions),Male
S08000032,2016-2019,95% Upper Confidence Limit,Percent Of Adults,25.8,Self-assessed general health: Fair,Male
S08000032,2016-2019,Percent,Percent Of Adults,59,General health questionnaire (GHQ-12): Score 0,Male
S08000032,2016-2019,95% Upper Confidence Limit,Percent Of Adults,71.1,Summary activity levels: Meets recommendations,Male
S08000031,2016-2019,Percent,Percent Of Adults,32,Life satisfaction: Mode (8),Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,5.6,E-cigarette use: Currently using,Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,83,Any cardiovascular condition: No cardiovascular condition,Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,9,E-cigarette use: Currently using,Male
S08000031,2015-2018,Percent,Percent Of Adults,7,E-cigarette use: Currently using,Male
S08000031,2015-2018,95% Upper Confidence Limit,Percent Of Adults,10.3,Summary activity levels: Some activity,Male
S08000031,2015-2018,Percent,Percent Of Adults,9,Summary activity levels: Some activity,Male
S08000031,2015-2018,95% Lower Confidence Limit,Percent Of Adults,27.5,Long-term illness: Limiting long-term illness,Male
